ind logFC logCPM PValue twd PValue_fdr Decide_test August_1m August_2m August_3m August_4m December_1m December_2m December_3m December_4m
23 ind-23 -0.534955451598862 8.13584402874175 0.555542365731588 0.748974243832391 1 0 833 623 1130 1091 791 823 887 672
24 ind-24 2.98584671288646 9.05985299438732 0.00181015389514709 0.725417227707114 0.441320569399666 0 151 220 506 444 3164 3339 4334 2266
25 ind-25 -0.012104639315951 9.64631771171217 0.988549129641296 0.64189631795335 1 0 1932 2017 2455 2505 1998 2818 3071 3151
26 ind-26 0.460691818291603 9.49801475175847 0.583129452916715 0.64670152457147 1 0 2007 1283 1636 1818 2914 3859 2593 2266
27 ind-27 1.75619303354346 8.02243819600746 0.0649646086343454 0.781584196213534 1 0 454 220 350 282 1207 1127 1740 1451
28 ind-28 0.0998124536778119 7.50197795527804 0.922406729268348 0.936399307447338 1 0 416 220 896 363 707 780 682 424
29 ind-29 1.16311991664571 6.40426095347721 0.326454449704388 1.21323232843959 1 0 227 110 116 121 416 433 443 318
30 ind-30 0.8737570902949 7.71614776439451 0.370781474258207 0.853185915843202 1 0 719 330 233 363 1124 737 819 1062
31 ind-31 0.674491482999349 9.67638922921418 0.418153148263842 0.634701639752242 1 0 1591 1614 1558 2263 3164 3903 3788 3080
32 ind-32 1.21951847539112 9.36935709408846 0.152604929451399 0.651290123771165 1 0 909 1063 1247 1172 2497 3816 3754 2761
33 ind-33 0.607736713412908 7.59956584432757 0.539315129891305 0.881682578988584 1 0 644 366 428 242 1165 780 682 601
34 ind-34 2.18348857110738 7.44819023607738 0.0358250886034039 0.901547011517861 1 0 113 183 233 161 1165 650 1228 885
35 ind-35 0.818051523972371 9.42830624346357 0.332626895638468 0.648699660053414 1 0 1515 1687 1208 1091 2497 3079 2935 3647
36 ind-36 -4.01609256306201 10.3595368019665 5.17161604320101e-05 0.712492938509566 0.0519230250737382 0 7956 6823 6352 6224 1040 477 170 424
37 ind-37 1.1823660020211 6.4047210796258 0.32252729031315 1.23178370667673 1 0 189 110 77 202 291 390 580 354
38 ind-38 0.972004693827085 10.4898746186702 0.238948810851557 0.618202853833283 1 0 2424 2898 2260 3233 4829 7762 7132 6692
39 ind-39 0.333783109147552 11.5201035539901 0.680658165810263 0.606932746271091 1 0 6402 7556 8105 6588 10574 9931 12798 11932
40 ind-40 0.799247976065012 7.53504036422774 0.415229787585918 0.862601656625932 1 0 454 256 311 485 582 867 989 814
41 ind-41 2.05346875678756 7.26023969938064 0.0585443930003708 0.984780253012303 1 0 227 146 194 80 1373 780 716 531
42 ind-42 0.576868490133937 10.6943803174146 0.48213554647258 0.618387884657111 1 0 3144 3741 3078 4890 5703 7589 8634 5559
43 ind-43 0.341376148472331 9.27516035176656 0.685795376803995 0.654031130707748 1 0 1742 1504 1558 1212 2081 2125 2662 2691
44 ind-44 1.8851253283632 10.2764089910115 0.0270163330137794 0.629032054961886 1 0 1326 1283 1169 2142 5204 6331 7440 8002
45 ind-45 0.685548125059192 9.37403403925189 0.4134263999174 0.641906548060267 1 0 1326 1320 1208 1818 2539 3165 2866 2761
46 ind-46 0.345047101505447 8.30461164888774 0.700403086524879 0.733776408020868 1 0 530 843 857 848 999 1691 1160 1062
47 ind-47 1.20184520494807 9.04560923067249 0.162133147517606 0.662185549071523 1 0 795 733 935 1091 2456 2602 2081 3045
48 ind-48 1.37495083193566 6.79980787418689 0.222230856636473 1.09659962737505 1 0 303 146 77 161 624 433 477 672
49 ind-49 1.21865155335216 8.76258784417307 0.161067500167295 0.676116921795234 1 0 606 770 779 727 2081 2471 1774 2089
50 ind-50 -1.80736610932005 10.6592970317773 0.0347915278838739 0.63747662130099 1 0 3826 6749 7949 9457 2040 2862 2866 2195
51 ind-51 0.797486212378851 6.50855399794584 0.489223670897318 1.16704096541167 1 0 189 110 194 242 416 520 341 318
52 ind-52 0.60421625890557 7.50169804996601 0.54081967853597 0.877996832224216 1 0 416 366 506 282 749 520 955 778
53 ind-53 -0.161220386820503 9.06270157280916 0.852412711132785 0.68863543534658 1 0 2197 1724 1247 1050 1790 1257 1638 2266
54 ind-54 1.171336284376 7.62226994297033 0.233161616521311 0.854348554459569 1 0 530 330 233 242 915 867 1058 920
55 ind-55 1.05000572025653 10.2942419461274 0.208677260442182 0.630559880806053 1 0 2652 2971 1714 1697 5495 5681 6040 6196
56 ind-56 0.40054493562172 5.71422175242093 0.764625178263804 1.53060270163738 1 0 75 183 116 121 208 303 170 141
57 ind-57 2.38157926210169 9.36187428272042 0.011528637785999 0.738069761497743 1 0 947 256 818 282 4704 3599 3583 3363
58 ind-58 0.876041193832337 6.46126757435162 0.449373359444025 1.17497799776795 1 0 151 183 116 242 416 390 443 318
59 ind-59 1.05636202514142 7.36876406864904 0.294779459944713 0.901081805344141 1 0 303 256 233 404 666 563 1023 814
60 ind-60 0.517843348452263 9.12370221794301 0.541701786189608 0.659473195093037 1 0 1288 1173 1247 1374 2289 1778 2047 2938
61 ind-61 0.854036560796114 8.34703180685136 0.349460786247811 0.751651415466299 1 0 568 990 584 404 1790 1127 1262 1593
62 ind-62 -1.33905708863066 9.31721976129026 0.124111034620314 0.674746363715104 1 0 1629 3044 2104 3435 791 1214 1433 1557
63 ind-63 0.831065641611127 6.51254171004387 0.476479021781151 1.19360144863816 1 0 75 220 155 282 374 433 341 460
64 ind-64 -0.0634383974465248 9.14861819340759 0.94032203045718 0.657680342773647 1 0 1818 1540 1519 1535 1873 1474 2354 1947
65 ind-65 0.835293452859651 7.08975907223703 0.430093628997035 0.994356947144123 1 0 227 293 311 242 666 997 409 354
66 ind-66 0.882319123597011 10.8866032269183 0.28146062808415 0.611207161576537 1 0 3637 3264 3429 4486 6369 8456 9112 10020
67 ind-67 -2.18387326826169 7.95223849015158 0.0283673820738163 0.830826461424164 1 0 947 953 1363 1212 166 563 341 177
68 ind-68 1.33273314442771 7.19319491601416 0.202705647791941 0.955382168285346 1 0 189 146 194 404 749 823 648 672
69 ind-69 -2.42757310422952 6.99632159473621 0.0311004148789719 1.02848305569711 1 0 454 623 545 767 83 86 238 141
70 ind-70 0.190138921035147 7.35999606417405 0.851638718923046 0.927250452657444 1 0 378 513 467 323 374 867 409 778
71 ind-71 2.44791177737661 10.3020187500926 0.00551501904622395 0.64660421000643 0.770985700588573 0 719 1320 701 1657 5453 7849 7883 8356
72 ind-72 0.73469348229632 8.67495424597481 0.399451715801307 0.691102867120041 1 0 985 733 896 767 2206 1647 1672 1522
73 ind-73 1.44697418676755 7.20788614266214 0.178103706567591 0.999589856190086 1 0 75 330 194 282 499 780 784 920
74 ind-74 1.04573191617691 7.64529806854396 0.298408731152383 0.897504168809986 1 0 606 330 155 363 666 650 1399 991
75 ind-75 0.729972584406268 6.47040579923507 0.52680703065266 1.1713079713547 1 0 151 183 233 161 291 433 375 424
76 ind-76 0.837215783832499 9.13683098304694 0.33196345578502 0.675937380222759 1 0 871 990 896 1778 2248 2125 2150 3434
77 ind-77 -1.14584263269219 7.00935176881588 0.27737735426601 0.977883896928976 1 0 416 440 467 646 208 346 307 247
78 ind-78 1.12136699586093 9.42983781830106 0.186911970019152 0.649682618389394 1 0 1326 1210 1169 1091 2123 3512 3515 3930
79 ind-79 0.713720053022425 7.44465817327658 0.469855361389255 0.875223162979292 1 0 303 440 350 363 666 650 955 708
80 ind-80 -0.0408637986573883 9.35657753710606 0.961157168177771 0.644161309751781 1 0 1932 2054 1597 1778 2373 2038 2423 2089
81 ind-81 0.0519124069818996 8.95158348308798 0.951702235116392 0.669791622932647 1 0 1477 1137 1247 1535 1498 1691 2252 1522
82 ind-82 0.631995092874722 12.2724061904391 0.43655972943582 0.6056935038612 1 0 11555 9354 10521 11600 18526 17477 20750 26272
83 ind-83 0.852833450208187 10.8201354250076 0.297603269436662 0.611159401292089 1 0 2993 3484 3312 4567 6286 9107 8327 8533
84 ind-84 0.705926933586173 6.26725473184749 0.559176736095339 1.27500736411265 1 0 189 183 77 202 333 390 273 318
85 ind-85 1.55953887339161 7.30563231700593 0.143947892861548 0.9815090487622 1 0 75 293 272 242 874 867 1023 495
86 ind-86 1.33593958556326 6.94764071746475 0.213338669108385 1.00211971068599 1 0 189 183 233 161 832 520 546 531
87 ind-87 1.58593665231298 8.0313801798531 0.0999871134927784 0.808917005826468 1 0 416 256 545 202 1582 1084 1604 1133
88 ind-88 0.505583783043965 6.33091937293628 0.669548935677199 1.22977604767851 1 0 227 146 194 161 291 346 307 354
89 ind-89 -0.0620083356207759 7.48773891655862 0.949860270352449 0.866455172835591 1 0 568 623 389 444 582 520 784 531
90 ind-90 0.517285266531979 7.46007221948334 0.607002013870522 0.909493460270474 1 0 568 366 233 444 1082 520 750 495
91 ind-91 0.404892594646794 6.73211657630745 0.715546903753084 1.09532581148741 1 0 151 220 350 282 249 520 443 460
92 ind-92 -0.167597617337255 6.65439366887768 0.884187987699545 1.1652111793725 1 0 151 256 506 242 249 477 375 212
93 ind-93 1.62513632081584 12.3907139656151 0.0786946573008119 0.746111047044308 1 0 11593 4952 9898 2061 47753 28276 19556 16606
94 ind-94 -1.19723600101442 7.62073141268275 0.228514220518163 0.873267760943551 1 0 947 476 935 646 249 433 614 354
95 ind-95 0.711223938948593 8.97377541682578 0.407245412163012 0.670951596821376 1 0 1060 953 1285 889 2373 2125 2286 1841
96 ind-96 0.803225442941467 6.41979547564049 0.493402848410921 1.20171007461094 1 0 227 146 116 202 457 303 307 424
97 ind-97 0.180311209350752 9.99457013110996 0.826430991083144 0.623371931998565 1 0 2917 2274 2649 2748 3455 3773 4505 3257
98 ind-98 1.4989149667225 10.1046701236299 0.0781157470675445 0.640454658653319 1 0 1704 1760 1480 1414 4246 3946 6211 8002
99 ind-99 0.888666417294468 9.15637561825754 0.294806283670084 0.652915473629545 1 0 1250 807 1091 1293 2706 2602 2423 2513
100 ind-100 1.65771588310799 7.16823340721406 0.118414747803571 0.967324215482109 1 0 189 183 155 242 1040 390 887 672
101 ind-101 0.782607278044596 8.57280875134409 0.371461911215126 0.695787889191327 1 0 606 696 974 808 1623 1517 1877 1628
102 ind-102 1.05185856732408 9.11577390843125 0.218775599011434 0.6596226025278 1 0 1022 1173 974 808 2289 2515 2423 3115
103 ind-103 -0.0781661011660213 6.31030239562841 0.948903661988205 1.27262173370287 1 0 151 220 350 161 249 216 238 354
104 ind-104 1.36888785414839 7.45617593715971 0.171308038937679 0.876860508351707 1 0 303 220 311 242 666 910 784 1133
105 ind-105 1.23288664386629 9.74166455898184 0.150448002340576 0.65817451374027 1 0 1136 1760 857 1980 3164 4206 3720 5523
106 ind-106 0.994990801910607 7.66793373289567 0.303204426549726 0.833458946564903 1 0 416 366 389 323 791 1127 1228 601
107 ind-107 0.0571275790067731 11.0528440236474 0.943841400440731 0.607055457029601 1 0 5834 6383 4598 6345 6328 7242 7713 8674
108 ind-108 1.19646380334576 8.37424555750198 0.184744779462487 0.725955165186069 1 0 719 403 506 606 1706 1778 1774 1133
109 ind-109 0.861073838109453 8.22089670794305 0.337076366004661 0.72666121564942 1 0 492 623 584 646 1373 1517 1160 1274
110 ind-110 0.234763531082407 7.43173983790183 0.813988363258973 0.896683012058098 1 0 303 440 311 727 582 780 511 708
111 ind-111 0.707374108245612 7.41715289550282 0.481740540090252 0.905640222565784 1 0 303 440 467 202 707 867 648 708
112 ind-112 -0.0683041371472817 6.99337512980891 0.949507532895981 1.0206530268325 1 0 378 586 194 282 416 433 546 318
113 ind-113 0.678351763385556 9.91090983643375 0.416304096180874 0.636845641301604 1 0 2121 2457 2104 1455 3663 3512 4470 4709
114 ind-114 -0.207582925648948 11.2770345115306 0.798840164408977 0.612709044428087 1 0 7690 6272 8105 7315 7951 6288 7406 10126
115 ind-115 0.440726188581969 7.92611559162937 0.634256881575603 0.779501773213831 1 0 530 403 662 687 1082 1127 887 778
116 ind-116 -0.31818045189708 10.2137835194452 0.697520627674284 0.61778168586803 1 0 3220 4108 3546 3718 3372 3339 3856 4036
117 ind-117 0.303126597957554 11.6904153497263 0.708462778148616 0.606682588485433 1 0 8297 7116 8690 8649 10616 10885 14470 14446
118 ind-118 0.760519890187066 10.6642220138161 0.354593396383961 0.616781952840107 1 0 2879 2861 3974 3597 5745 7155 7440 7896
119 ind-119 -1.65699722621035 7.08555709927765 0.128762167325654 1.01729167927418 1 0 530 513 623 606 124 216 136 424
120 ind-120 0.957469281352336 8.61799238586039 0.291157411105846 0.740486426204207 1 0 1022 953 311 687 2414 1604 1331 1805
121 ind-121 0.523314741847776 7.80915557622782 0.574825257851215 0.788876638906588 1 0 530 513 467 525 1040 867 784 956
122 ind-122 0.570363097616558 7.11791326475714 0.582391532185811 0.962366457958086 1 0 227 256 350 404 624 693 375 601
123 ind-123 -0.48320249225351 8.64002186914554 0.582865808041446 0.706955305892286 1 0 1098 1283 1247 1535 1415 650 1194 1310
124 ind-124 -0.4503381961586 8.75289338518301 0.60733302853324 0.702073155233409 1 0 1780 1027 1363 1333 1373 954 1774 920
125 ind-125 -0.0120897167321346 7.55790150016691 0.990531455925317 0.859149247185379 1 0 530 440 623 485 499 997 580 531
126 ind-126 0.647999296437316 8.56776512399906 0.470255291773052 0.731788574447779 1 0 985 476 1091 687 1540 1040 1877 1912
127 ind-127 -0.986444539002393 8.90592754444084 0.254760411850259 0.67737989464755 1 0 1704 1834 1909 1576 1040 823 1365 1203
128 ind-128 -2.2645126787546 11.9189999589884 0.0114010168909079 0.674027530606561 1 0 12843 10638 33747 12287 5787 4336 3856 4461
129 ind-129 -0.0932131215556759 6.71062547120612 0.932777591347469 1.07077354756509 1 0 227 293 311 363 416 390 307 283
130 ind-130 -1.333584939284 6.77735490060249 0.237254036275567 1.10093552413581 1 0 644 366 389 323 166 173 375 141
131 ind-131 0.467588550405749 6.98249478207094 0.666038843367458 1.04577551726337 1 0 340 403 116 323 291 520 716 495
132 ind-132 -0.0414268725798023 8.08163112404178 0.964397039127445 0.772521196651316 1 0 985 733 701 606 1124 563 1023 956
133 ind-133 1.05127722418096 6.88732151515307 0.351935533487306 1.11500063155791 1 0 151 293 272 121 957 216 511 495
134 ind-134 1.08636027606417 7.46320784748675 0.288239417502931 0.925286777082414 1 0 454 440 116 242 749 823 887 849
135 ind-135 0.964455331930655 6.7712089454012 0.395330297104318 1.12771603877393 1 0 75 183 311 242 749 433 341 460
136 ind-136 0.479039554751771 6.76201951651379 0.674304499193012 1.14907841686423 1 0 189 256 272 282 374 693 580 106
137 ind-137 0.680676949893901 12.2962859506139 0.401978043949602 0.604773562766059 1 0 9623 10344 11106 11761 18734 17867 23105 25812
138 ind-138 1.71482293969184 7.33602915316161 0.10113383629955 0.937146441771288 1 0 189 293 116 242 1124 1084 546 672
139 ind-139 0.080000321476587 7.68550502412127 0.933667199936429 0.828662577226171 1 0 492 843 428 444 749 780 614 778
140 ind-140 -0.597685796633523 7.51719881688447 0.540993121253855 0.861336493893104 1 0 530 660 740 485 499 650 409 460
141 ind-141 1.78698691776799 8.85412179504663 0.0552741543264766 0.75087848958865 1 0 568 843 545 323 3830 1127 1979 2903
142 ind-142 1.08399679650081 7.51741695937097 0.278269966377099 0.886117021501485 1 0 530 256 194 323 707 737 921 1062
143 ind-143 0.492048863792083 6.52938840952905 0.666370868581033 1.15026696562509 1 0 265 183 194 202 416 303 443 318
144 ind-144 0.554497674006504 7.07264431218318 0.598113685476154 0.988404679196165 1 0 303 146 389 363 457 607 614 531
145 ind-145 0.220677290481516 6.00209018928104 0.861588112898118 1.38272391190749 1 0 113 220 155 161 208 216 273 247
146 ind-146 0.828144837227885 7.23690379405598 0.422464389110013 0.948850142376027 1 0 378 220 350 242 499 563 955 637
147 ind-147 1.02314456430279 6.49215635226859 0.381535464335755 1.18968530394312 1 0 189 110 155 202 457 216 443 531
148 ind-148 1.40714871478592 6.26047557696904 0.254424655835903 1.29412049684076 1 0 151 73 116 121 457 346 511 212
149 ind-149 0.463394552478165 7.12715262952346 0.654158927832956 0.958756225950564 1 0 340 330 233 404 333 693 648 566
150 ind-150 -0.0508989762510592 7.83889865094621 0.956502502176937 0.781160458107145 1 0 681 623 623 646 791 823 784 708
151 ind-151 1.26222186961803 6.63777293925285 0.284055102130724 1.19679139327616 1 0 227 110 77 242 249 867 307 531
152 ind-152 1.40122445213188 9.29417178959649 0.108843615195133 0.677307825367318 1 0 757 807 1052 1212 3039 2298 2320 4886
153 ind-153 0.218420221432525 9.1617477893519 0.795189208363326 0.650827521606987 1 0 1401 1137 1558 1778 2040 2428 2081 1982
154 ind-154 0.825371650778223 7.3500442792366 0.411606023639693 0.902470965287022 1 0 303 366 272 363 499 1040 682 672
155 ind-155 0.203407274061607 9.02864273710752 0.811645587353309 0.668772367425954 1 0 947 1173 1636 1616 1873 1821 2150 1876
156 ind-156 -0.670127479663326 6.82949345586306 0.535734128469514 1.04015856720739 1 0 454 366 389 323 291 216 307 389
157 ind-157 -1.92239593549098 7.33981295265962 0.0794930466991742 1.01185999322991 1 0 378 733 974 727 83 303 409 141
158 ind-158 0.901275125306321 6.70127541322778 0.424378804439618 1.11938561486152 1 0 340 183 116 161 666 433 409 354
159 ind-159 0.186100170989023 8.4930543156873 0.833548915780714 0.716634362647772 1 0 719 1393 662 970 1373 1431 1296 1203
160 ind-160 0.520734824937529 9.48486131751211 0.533976689114581 0.642849638204802 1 0 1363 1393 1792 1980 3372 2471 2832 2974
161 ind-161 0.290846521793427 10.4846490894248 0.721473656201913 0.61394965344402 1 0 3561 3888 3585 3193 4704 5898 5426 5806
162 ind-162 -0.360682658410947 6.16212743083977 0.772028924731291 1.34169398921768 1 0 189 146 233 323 208 346 136 177
163 ind-163 0.171959661416447 7.37689877429676 0.86762242806039 0.952965289507707 1 0 530 586 389 202 874 390 443 708
164 ind-164 1.07946782384421 8.25872645065529 0.232336795385684 0.731870952329034 1 0 454 623 428 687 1248 1214 1604 1664
165 ind-165 -1.08373414622239 7.21490328515753 0.294160217632945 0.942568868872074 1 0 681 550 506 485 291 216 375 424
166 ind-166 -1.38920504531212 8.62200374687796 0.118163283646279 0.700197708643388 1 0 1250 1980 1675 1374 791 910 784 531
