August_1m	August_2m	August_3m	August_4m	December_1m	December_2m	December_3m	December_4m	August_1t	August_2t	August_3t	August_4t	December_1t	December_2t	December_3t	December_4t
3144.0	3741.0	3078.0	4890.0	5703.0	7589.0	8634.0	5559.0	7034.0	8562.0	8504.0	11644.0	9989.0	12523.0	13263.0	9684.0
1742.0	1504.0	1558.0	1212.0	2081.0	2125.0	2662.0	2691.0	5907.0	5529.0	5627.0	4773.0	5392.0	5273.0	6383.0	5665.0
1326.0	1283.0	1169.0	2142.0	5204.0	6331.0	7440.0	8002.0	4787.0	3798.0	4462.0	4687.0	8517.0	9652.0	10720.0	11563.0
1326.0	1320.0	1208.0	1818.0	2539.0	3165.0	2866.0	2761.0	2501.0	2584.0	2631.0	2971.0	3436.0	3947.0	3858.0	3487.0
530.0	843.0	857.0	848.0	999.0	1691.0	1160.0	1062.0	1422.0	2202.0	2435.0	1677.0	1415.0	2146.0	1689.0	1629.0
795.0	733.0	935.0	1091.0	2456.0	2602.0	2081.0	3045.0	6120.0	6270.0	7032.0	7739.0	10408.0	11167.0	11133.0	12229.0
303.0	146.0	77.0	161.0	624.0	433.0	477.0	672.0	568.0	403.0	234.0	303.0	665.0	455.0	546.0	866.0
606.0	770.0	779.0	727.0	2081.0	2471.0	1774.0	2089.0	7872.0	7407.0	8204.0	7994.0	13343.0	13079.0	12155.0	12975.0
3826.0	6749.0	7949.0	9457.0	2040.0	2862.0	2866.0	2195.0	8055.0	10851.0	12740.0	13747.0	8831.0	9029.0	9399.0	8711.0
189.0	110.0	194.0	242.0	416.0	520.0	341.0	318.0	2015.0	1393.0	1679.0	1515.0	1786.0	1845.0	1464.0	1239.0
416.0	366.0	506.0	282.0	749.0	520.0	955.0	778.0	2193.0	2038.0	2042.0	1373.0	2165.0	1581.0	2353.0	2284.0
2197.0	1724.0	1247.0	1050.0	1790.0	1257.0	1638.0	2266.0	6866.0	5785.0	5854.0	4434.0	3784.0	2687.0	3872.0	4443.0
530.0	330.0	233.0	242.0	915.0	867.0	1058.0	920.0	1532.0	1191.0	1053.0	1194.0	1892.0	1777.0	1808.0	1629.0
2652.0	2971.0	1714.0	1697.0	5495.0	5681.0	6040.0	6196.0	3352.0	3650.0	2143.0	2263.0	6059.0	6419.0	6674.0	7097.0
75.0	183.0	116.0	121.0	208.0	303.0	170.0	141.0	1037.0	1503.0	1016.0	1027.0	748.0	803.0	682.0	406.0
947.0	256.0	818.0	282.0	4704.0	3599.0	3583.0	3363.0	1703.0	879.0	1343.0	585.0	5164.0	3817.0	3788.0	3593.0
151.0	183.0	116.0	242.0	416.0	390.0	443.0	318.0	15154.0	15285.0	14613.0	17322.0	15419.0	13939.0	16432.0	15933.0
303.0	256.0	233.0	404.0	666.0	563.0	1023.0	814.0	3124.0	3423.0	3340.0	3425.0	4061.0	2777.0	4632.0	4308.0
1288.0	1173.0	1247.0	1374.0	2289.0	1778.0	2047.0	2938.0	20446.0	20239.0	17082.0	22528.0	21602.0	16312.0	18283.0	21142.0
568.0	990.0	584.0	404.0	1790.0	1127.0	1262.0	1593.0	1324.0	1834.0	1343.0	1513.0	2207.0	1517.0	1604.0	1964.0
1629.0	3044.0	2104.0	3435.0	791.0	1214.0	1433.0	1557.0	2688.0	4530.0	3640.0	5135.0	2559.0	2843.0	3412.0	3631.0
75.0	220.0	155.0	282.0	374.0	433.0	341.0	460.0	5412.0	6114.0	5567.0	6579.0	4257.0	4425.0	5018.0	5114.0
1818.0	1540.0	1519.0	1535.0	1873.0	1474.0	2354.0	1947.0	12717.0	11672.0	14072.0	11377.0	25317.0	23782.0	27704.0	25965.0
227.0	293.0	311.0	242.0	666.0	997.0	409.0	354.0	1249.0	1063.0	1150.0	808.0	1229.0	1322.0	733.0	620.0
3637.0	3264.0	3429.0	4486.0	6369.0	8456.0	9112.0	10020.0	11732.0	10234.0	10487.0	12567.0	14987.0	16421.0	17937.0	18420.0
947.0	953.0	1363.0	1212.0	166.0	563.0	341.0	177.0	18943.0	13822.0	17486.0	14609.0	20816.0	18792.0	22752.0	19671.0
189.0	146.0	194.0	404.0	749.0	823.0	648.0	672.0	1382.0	1612.0	1443.0	1734.0	2141.0	2209.0	2065.0	1770.0
454.0	623.0	545.0	767.0	83.0	86.0	238.0	141.0	4248.0	4422.0	4071.0	5019.0	3469.0	3771.0	3228.0	3727.0
378.0	513.0	467.0	323.0	374.0	867.0	409.0	778.0	3294.0	3378.0	2373.0	2468.0	873.0	1235.0	886.0	1327.0
719.0	1320.0	701.0	1657.0	5453.0	7849.0	7883.0	8356.0	2214.0	2858.0	2087.0	3114.0	7617.0	10947.0	11041.0	11322.0
985.0	733.0	896.0	767.0	2206.0	1647.0	1672.0	1522.0	23453.0	18812.0	19917.0	17453.0	25362.0	15547.0	19003.0	21750.0
75.0	330.0	194.0	282.0	499.0	780.0	784.0	920.0	2164.0	2620.0	2466.0	1861.0	1746.0	1951.0	2783.0	2585.0
606.0	330.0	155.0	363.0	666.0	650.0	1399.0	991.0	2386.0	1448.0	2164.0	1715.0	1311.0	1344.0	2013.0	1576.0
151.0	183.0	233.0	161.0	291.0	433.0	375.0	424.0	851.0	1541.0	994.0	1029.0	749.0	1214.0	1226.0	1081.0
871.0	990.0	896.0	1778.0	2248.0	2125.0	2150.0	3434.0	3723.0	4344.0	3734.0	5438.0	5144.0	4775.0	5388.0	6869.0
416.0	440.0	467.0	646.0	208.0	346.0	307.0	247.0	6831.0	6772.0	8062.0	7608.0	9050.0	9912.0	10591.0	10327.0
1326.0	1210.0	1169.0	1091.0	2123.0	3512.0	3515.0	3930.0	5919.0	6439.0	4996.0	6778.0	5707.0	7965.0	7559.0	6919.0
303.0	440.0	350.0	363.0	666.0	650.0	955.0	708.0	1436.0	1889.0	1364.0	949.0	1311.0	1236.0	1776.0	1487.0
1932.0	2054.0	1597.0	1778.0	2373.0	2038.0	2423.0	2089.0	9379.0	8816.0	8409.0	6635.0	7235.0	6369.0	7548.0	6349.0
1477.0	1137.0	1247.0	1535.0	1498.0	1691.0	2252.0	1522.0	4925.0	4622.0	4601.0	5333.0	9669.0	10067.0	10726.0	10357.0
11555.0	9354.0	10521.0	11600.0	18526.0	17477.0	20750.0	26272.0	17614.0	14570.0	17391.0	17185.0	24506.0	23303.0	26003.0	31653.0
2993.0	3484.0	3312.0	4567.0	6286.0	9107.0	8327.0	8533.0	16178.0	17963.0	16986.0	17235.0	19403.0	21632.0	23457.0	21658.0
189.0	183.0	77.0	202.0	333.0	390.0	273.0	318.0	1058.0	1338.0	999.0	1092.0	1185.0	1147.0	834.0	1098.0
75.0	293.0	272.0	242.0	874.0	867.0	1023.0	495.0	2612.0	2551.0	3409.0	3514.0	3179.0	3722.0	4015.0	2832.0
189.0	183.0	233.0	161.0	832.0	520.0	546.0	531.0	1082.0	751.0	1092.0	808.0	2643.0	1689.0	1790.0	1896.0
416.0	256.0	545.0	202.0	1582.0	1084.0	1604.0	1133.0	3688.0	3131.0	4295.0	3157.0	7062.0	4425.0	5749.0	6059.0
227.0	146.0	194.0	161.0	291.0	346.0	307.0	354.0	8743.0	6114.0	6718.0	5389.0	6938.0	5687.0	5906.0	5804.0
568.0	623.0	389.0	444.0	582.0	520.0	784.0	531.0	4118.0	3426.0	2803.0	2813.0	2331.0	2186.0	2556.0	2159.0
568.0	366.0	233.0	444.0	1082.0	520.0	750.0	495.0	2559.0	1982.0	1771.0	2137.0	2620.0	1626.0	2201.0	1520.0
151.0	220.0	350.0	282.0	249.0	520.0	443.0	460.0	851.0	714.0	1323.0	1109.0	540.0	1365.0	1006.0	1043.0
151.0	256.0	506.0	242.0	249.0	477.0	375.0	212.0	661.0	879.0	1498.0	1049.0	3286.0	3910.0	2865.0	3600.0
11593.0	4952.0	9898.0	2061.0	47753.0	28276.0	19556.0	16606.0	13736.0	5812.0	10985.0	2486.0	50003.0	29827.0	20694.0	17760.0
947.0	476.0	935.0	646.0	249.0	433.0	614.0	354.0	2460.0	2384.0	2180.0	1637.0	333.0	715.0	767.0	495.0
1060.0	953.0	1285.0	889.0	2373.0	2125.0	2286.0	1841.0	2421.0	2182.0	2690.0	2201.0	4077.0	3601.0	3517.0	3415.0
227.0	146.0	116.0	202.0	457.0	303.0	307.0	424.0	5828.0	6114.0	6153.0	5181.0	5204.0	4216.0	4799.0	4380.0
2917.0	2274.0	2649.0	2748.0	3455.0	3773.0	4505.0	3257.0	11092.0	9888.0	11041.0	8615.0	9364.0	10008.0	10881.0	8572.0
1704.0	1760.0	1480.0	1414.0	4246.0	3946.0	6211.0	8002.0	7679.0	8345.0	8867.0	9246.0	12563.0	11641.0	16389.0	16989.0
1250.0	807.0	1091.0	1293.0	2706.0	2602.0	2423.0	2513.0	10685.0	8677.0	10803.0	8981.0	15289.0	13552.0	14338.0	13443.0
