ind logFC logCPM PValue twd PValue_fdr Decide_test August_1m August_2m August_3m August_4m December_1m December_2m December_3m December_4m
1 ind-5674 15.0141458982895 9.37490574605984 7.04987100158473e-08 2.06235843157544 0.000311435101366007 1 0 0 0 0 6744 0 6791 4567
2 ind-6077 -11.5241521443532 5.89858551694656 2.71009517320413e-06 1.8689352898253 0.00665117579841476 -1 454 330 311 202 0 0 0 0
3 ind-6737 18.0908855490402 12.4504465399487 7.80823112869044e-09 2.2953551703726 5.74894030568381e-05 1 0 0 0 0 80518 40028 0 34310
4 ind-7220 -12.422350994676 6.78983709289425 6.83522702296147e-09 1.34542883434631 5.74894030568381e-05 -1 568 513 740 606 0 0 0 0
5 ind-7597 12.9624947505793 7.32752578874287 6.54747256874877e-10 1.25520228982024 1.44620574098523e-05 1 0 0 0 0 1956 477 648 1310
6 ind-7599 -13.9761099555196 8.33825919473838 3.85952890421713e-07 2.11013150438944 0.0014208212406058 -1 1136 2714 0 3556 0 0 0 0
7 ind-7610 -11.739153286519 6.11149923180354 9.74488695552162e-07 1.75877065364263 0.00269056328841952 -1 530 476 194 323 0 0 0 0
8 ind-7654 11.7287767774257 6.10137085143024 8.19333592911228e-07 1.7310795324596 0.00258534862860331 1 0 0 0 0 541 433 375 531
9 ind-7767 -12.778183259442 7.14385874288987 1.29344480215704e-08 1.4633172721014 7.14240219751116e-05 -1 227 550 233 2263 0 0 0 0
